code,term
10058006,Miscarriage with amniotic fluid embolism
100801000119107,Maternal tobacco use in pregnancy
1010645004,Single umbilical cord artery type III
1010646003,Single umbilical cord artery type IV
1010652002,Single umbilical cord artery type II
1010655000,Single umbilical cord artery type I
10152009,"Postpartum state, 4 weeks"
10211000132109,Perinatal depression
10217006,Third degree perineal laceration
10231000132102,In-vitro fertilization pregnancy
102500002,Good neonatal condition at birth
102501003,Well male newborn
102502005,Well female newborn
102503000,Well premature newborn
102504006,Well premature male newborn
102505007,Well premature female newborn
102872000,Pregnancy on oral contraceptive
102875003,Surrogate pregnancy
102876002,Multigravida
102879009,Post-term delivery
102955006,Contraception failure
103008008,Postpartum headache
1031000119109,Insufficient prenatal care
1033571000000100,Minor postpartum haemorrhage
1033591000000101,Major postpartum hemorrhage
10455003,Removal of ectopic cervical pregnancy by evacuation
104851000119103,Postpartum major depression in remission
1052284009,Restless leg syndrome in pregnancy
10562009,Malignant hypertension complicating AND/OR reason for care during childbirth
106004004,Hemorrhagic complication of pregnancy
106007006,Maternal AND/OR fetal condition affecting labor AND/OR delivery
106009009,Fetal condition affecting obstetrical care of mother
106010004,Pelvic dystocia AND/OR uterine disorder
106281000119103,Pre-existing diabetes mellitus in mother complicating childbirth
10629511000119102,Rhinitis of pregnancy
10697004,Miscarriage complicated by renal failure
10741751000119100,Anemia in mother complicating childbirth
10741871000119101,Alcohol dependence in pregnancy
10743001000119103,Anxiety disorder in mother complicating childbirth
10743121000119108,Aortic valve disorder in mother complicating childbirth
10743651000119105,Inflammation of cervix in pregnancy
10743741000119103,Cardiac arrhythmia in mother complicating childbirth
10743831000119100,Neoplasm of uterus affecting pregnancy
10743881000119104,Suspected fetal abnormality affecting management of mother
10745001,Delivery of transverse presentation
10746341000119109,Acquired immune deficiency syndrome complicating childbirth
10749581000119100,Blood coagulation disorder complicating childbirth
10749811000119108,Obstetric anesthesia with central nervous system complication in childbirth
10749871000119100,Malignant neoplastic disease in pregnancy
10750111000119108,Breast lump in pregnancy
10750161000119106,Cholestasis of pregnancy complicating childbirth
10750801000119102,False labor before 37 completed weeks of gestation
10750991000119101,Cyst of ovary in pregnancy
10751511000119105,Obstructed labor due to incomplete rotation of fetal head
10751581000119104,Obstructed labor due to disproportion between fetus and pelvis
10751631000119101,Obstructed labor due to abnormality of maternal pelvis
10751701000119102,Spontaneous onset of labor between 37 and 39 weeks gestation with planned cesarean section
10752251000119103,Galactorrhea in pregnancy
10752771000119100,Renal failure after ectopic pregnancy
10753101000119102,Heart disease in mother complicating childbirth
10753181000119105,Premature rupture of membranes in full term pregnancy with onset of labor within 24 hours of rupture
10753231000119104,Premature rupture of membranes in full term pregnancy with onset of labor more than 24 hours after rupture
10753281000119103,Premature rupture of membranes in full term pregnancy with onset of labor unknown
10753491000119101,Gestational diabetes mellitus in childbirth
10754781000119108,Gallbladder calculus in mother complicating childbirth
10754881000119104,Diabetes mellitus in mother complicating childbirth
10755041000119100,Alcohol dependence in childbirth
10755951000119102,Heart murmur in mother in childbirth
10756261000119102,Physical abuse complicating childbirth
10756301000119105,Physical abuse complicating pregnancy
10757401000119104,Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth
10757441000119102,Pre-existing hypertensive heart disease in mother complicating childbirth
10757481000119107,Pre-existing hypertensive heart and chronic kidney disease in mother complicating pregnancy
10759031000119106,Pre-existing hypertensive heart disease in mother complicating pregnancy
10759111000119102,Viral hepatitis in mother complicating childbirth
10759191000119106,Septic thrombophlebitis in puerperium
10759231000119102,Salpingo-oophoritis in pregnancy
10759311000119104,Pulmonary embolism in childbirth
10759611000119105,Preterm premature rupture of membranes with onset of labor later than 24 hours after rupture
10759661000119108,Preterm premature rupture of membranes with onset of labor unknown
10759711000119103,Preterm premature rupture of membranes with onset of labor within 24 hours of rupture
10759761000119100,Rubella in mother complicating childbirth
10760081000119108,Pyemic and septic embolism in childbirth
10760131000119108,Pyemic and septic embolism in pregnancy
10760221000119101,Uterine prolapse in pregnancy
10760261000119106,Uterine laceration during delivery
10760341000119101,Retraction of nipple in pregnancy
10760421000119102,Psychotic disorder in mother complicating childbirth
10760541000119109,Traumatic injury to vulva during pregnancy
10760581000119104,Pain in round ligament in pregnancy
10760661000119109,"Triplets, some live born"
10760701000119102,"Quadruplets, all live born"
10760741000119100,"Quadruplets, some live born"
10760781000119105,"Quintuplets, all live born"
10760821000119100,"Quintuplets, some live born"
10760861000119105,"Sextuplets, all live born"
10760901000119104,"Sextuplets, some live born"
10760981000119107,Psychological abuse complicating pregnancy
10761061000119107,Sexual abuse complicating pregnancy
10761101000119105,Vacuum assisted vaginal delivery
10761141000119107,Preterm labor in second trimester with preterm delivery in second trimester
10761191000119104,Preterm labor in third trimester with preterm delivery in third trimester
10761241000119104,Preterm labor with preterm delivery
10761341000119105,Preterm labor without delivery
10763001,Therapeutic abortion by insertion of laminaria
1076861000000103,Ultrasonography of retained products of conception
1079091000000109,"Antenatal screening blood test for alpha-fetoprotein, human chorionic gonadotrophin, unconjugated oestriol and inhibin A"
1079101000000101,Antenatal screening shows higher risk of Down syndrome
1079111000000104,Antenatal screening shows lower risk of Down syndrome
1079121000000105,Antenatal screening shows higher risk of Edwards and Patau syndromes
1079131000000107,Antenatal screening shows lower risk of Edwards and Patau syndromes
10805641000119102,Congenital cardiovascular anomaly in mother complicating childbirth
10806041000119104,Infection of nipple associated with lactation
10806241000119108,Thalassemia in mother complicating childbirth
10807061000119103,Liver disorder in mother complicating childbirth
10808861000119105,Maternal distress during childbirth
10809641000119100,Mitral valve disorder in mother complicating childbirth
10811121000119102,Major depressive disorder in mother complicating childbirth
10811201000119102,Mental disorder in mother complicating childbirth
10812041000119103,Urinary tract infection due to incomplete miscarriage
10812081000119108,Iron deficiency anemia in mother complicating childbirth
10835781000119105,Amniotic fluid embolism in childbirth
10835871000119104,Depressive disorder in mother complicating childbirth
10835971000119109,Anti-A sensitization in pregnancy
10836071000119101,Dislocation of symphysis pubis in pregnancy
10836111000119108,Dislocation of symphysis pubis in labor and delivery
10836241000119104,Cracked nipple associated with lactation
109894007,Retained placenta
109895008,Retained placental fragment
110081000119109,Bacterial vaginosis in pregnancy
11026009,Miscarriage with renal tubular necrosis
1105781000000106,Misoprostol induction of labour
1105791000000108,Mifepristone induction of labour
1105801000000107,Clitoral tear during delivery
11082009,Abnormal pregnancy
1109951000000101,Pregnancy insufficiently advanced for reliable antenatal screening
1109971000000105,Pregnancy too advanced for reliable antenatal screening
11109001,Miscarriage with uremia
111208003,Melasma gravidarum
111424000,Retained products of conception not following abortion
111425004,Genital tract AND/OR pelvic infection following molar AND/OR ectopic pregnancy
111431001,Legal abortion complicated by damage to pelvic organs AND/OR tissues
